real integer
0.9664535356921388 910116
0.007491470058587191 7921
0.939268997363764 912025
0.6715634814879851 345744
0.7664809327917963 508369
0.030814021726609964 7744
0.3460889655971231 136900
0.6158156951036152 297025
0.18309064740993164 11025
0.014618780486909122 121
0.9649015609162157 769129
0.5410881855511303 285156
0.6014634495610515 269361
0.5790026861873665 283024
0.5564325605562156 342225
0.48103637136651844 204304
0.249152121361209 112225
0.45338801947649354 210681
0.019299566309716853 400
0.005780237417743139 4225
0.47282692534740633 200704
0.05417519864614284 5041
0.1640032237419612 30625
0.1442457216019083 53361
0.7709799715197749 743044
0.14122776441649953 10404
0.03958962422796164 25
0.8065125051156038 549081
0.15457051471078964 60025
0.154551400089043 48841
0.04106280627180747 324
0.3495923019636925 100489
0.8164630567142304 657721
0.7828902895224036 603729
0.8173440068581418 797449
0.43959639767963965 245025
0.8147411602576974 597529
0.12387667430690597 3721
0.4360597935994146 128881
0.5297991417578831 354025
0.48520115298643485 300304
0.6563916225394183 467856
0.3453489252042602 148225
0.8099405837312028 549081
0.9079906191155508 741321
0.15484649574701626 49284
0.7201279798410062 605284
0.4466706642559476 129600
0.3952430502634495 92416
0.28613350393922754 37249
0.5067148419441442 179776
0.9328256468398046 944784
0.31698602665681064 164025
0.06622760433688513 289
0.07299964643145462 3364
0.2018967725432862 32761
0.7048599115494352 611524
0.5005177947605222 318096
0.3612545127497995 186624
0.5150341755872584 308025
0.1746899184029187 36481
0.3017770577990323 132496
0.534340747841153 285156
0.7733252044833073 613089
0.3337580124939149 67081
0.6245059904834612 502681
0.8423388566528607 571536
0.3252852050291277 50625
0.674697198426907 492804
0.7579087748535257 471969
0.2170336920016357 41209
0.7367248559326753 459684
0.822836925645994 638401
0.874285779261748 933156
0.5374877201903263 385641
0.4220368662398568 210681
0.8469088461355628 835396
0.09286882552760667 1936
0.41025802046110393 231361
0.2767425293162503 39601
0.3753484507964998 101124
0.7162366348291398 537289
0.052498954158468725 16129
0.44055508995426507 245025
0.16532070473240057 15876
0.07332629323159812 2704
0.42891036601263643 216225
0.4795878543375367 210681
0.4779619809775836 188356
0.36952543746848865 151321
0.20606798059479603 43681
0.929672685027304 848241
0.6683105116667378 490000
0.8013451680214587 715716
0.6607070326757426 337561
0.3666337502674558 180625
0.06519273606004916 36
0.9053601689290057 850084
0.9801687624222534 1060900
0.9956779501561271 912025
0.6860565139581868 425104
0.9459701027837982 817216
0.19456632814676655 66049
0.27903465980652375 81225
0.6022037133872586 324900
0.33423486287865234 88804
0.26750379864093876 101761
0.5892297370920557 357604
0.8241385165248288 600625
0.13708330594430362 1764
0.037353952710616034 18225
0.9738146901779593 1014049
0.9906604238823697 986049
0.43455539575769053 190969
0.0689968455140697 14400
0.3051615227865051 118336
0.9095026968405713 727609
0.5043762779449856 286225
0.8109583259981676 717409
0.3310913731348415 117649
0.1625342926232617 26244
0.9400480737966925 1060900
0.13993868140764443 21316
0.6198618119078443 300304
0.9489909622021919 804609
0.1642501049788817 27225
0.5050036064635829 312481
0.8531773152859777 669124
0.7082273066030744 518400
0.5350812271995034 306916
0.44633775979940926 176400
0.9297231835805264 964324
0.6758695200711056 567009
0.604042251497186 268324
0.2279230104629325 82944
0.34618632450534537 188356
0.6890522969448506 442225
0.49278592301316826 162409
0.4480756432264197 132496
0.2931640477955114 143641
0.14789399866873065 33489
0.6507889124902234 474721
0.7944700794652206 751689
0.35660869323785926 108900
0.17404943015176322 40401
0.2122707201192704 22801
0.9900923118379258 1028196
0.7306470434476072 534361
0.1325004225542018 45796
0.6512464042247909 314721
0.913988170026806 822649
0.5977597365455833 327184
0.3966542214766213 204304
0.23417011860959402 18225
0.3127493603753806 167281
0.12047353047299003 19600
0.8650770054650282 758641
0.59356522835349 361201
0.3222368157872887 86436
0.9266069700784881 938961
0.6426836041831554 401956
0.9109721345395123 972196
0.9671488849270804 950625
0.40860992848148847 119716
0.27340328569685535 119716
0.1742466192980301 69169
0.5863581136876328 429025
0.5301209202867813 337561
0.587207373090883 425104
0.5143342721855443 312481
0.8035059849621691 605284
0.10258382345376171 18769
0.8502792447919707 840889
0.12704253275763078 33489
0.4881053723153571 247009
0.13183867043041952 34225
0.23897272342349563 77284
0.3353079288615486 181476
0.7115023547574234 465124
0.5480485771139187 235225
0.47292446848559455 312481
0.9290215705758647 795664
0.4415809431545962 198916
0.5391696081492233 405769
0.08587229308528133 625
0.6077045716141891 329476
0.3777553608379741 173056
0.199594954137308 11025
0.9708305795619522 872356
0.09975037012430676 100
0.6796457861390139 440896
0.3399557345205959 189225
0.929596285773352 944784
0.9025336405654067 697225
0.9724287196588562 763876
0.5965995907361062 462400
0.9098749520625241 902500
0.9260150854041772 896809
0.1560840371327744 57600
0.1942979142821678 33856
0.4450296492688718 198025
0.33639666082787933 84100
0.8889116677274447 751689
0.6855585096362641 467856
0.24769106382856143 41616
0.9701953095489171 1102500
0.1576296317163257 10816
0.9589520435420135 1087849
0.35384767970573383 131044
0.43009759424612415 174724
0.5498786449757813 366025
0.7182024634234199 579121
0.07081493598518485 361
0.6464594779992874 474721
0.4854514478125008 292681
0.9566563758067148 990025
0.8323985450949843 635209
0.8174644598316574 674041
0.8056482572812261 708964
0.3027385160880486 126736
0.7996824148607594 638401
0.14280346890439977 13689
0.17706388628137526 10816
0.3013809181286585 89401
0.8012150253046723 674041
0.2670267959539461 122500
0.9492696779292712 1042441
0.4720016068128764 298116
0.167508371665549 50625
0.23028505923134335 32400
0.06681626488752579 17161
0.8158017816362514 776161
0.5613888075514656 240100
0.3940661846310618 113569
0.5604376012266448 239121
0.21205850200813903 65536
0.6181105033544306 427716
0.5184361707760895 237169
0.19130829454310638 18496
0.5533603654547542 207936
0.36317100984349693 123201
0.6824989301208209 341056
0.4223496727406294 164836
0.9430441850018226 944784
0.5185364056327332 323761
0.7716854779137813 683929
0.5636235735180172 274576
0.5908043609340922 244036
0.6982046855000986 386884
0.9694899875843277 966289
0.7592428493863296 544644
0.2093800011433773 38025
0.11152307657708382 8836
0.8567408932306207 770884
0.9125135003463087 913936
0.7868537319492106 698896
0.2295672059333238 20164
0.3799296247439945 93025
0.6748421155050275 336400
0.5084143956001275 322624
0.7300044336745367 400689
0.04518380322724902 17956
0.030420874860244584 6561
0.88307434456488 687241
